relative_path,slug,title,category,status,repository,file_page_url,source_url,author,license,license_url,attribution_required,restrictions,brand_source,notes
Computer/Programming/Fusionchart/index.jpg,technology/computer/programming/fusionchart,Fusionchart,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AFusioncharts_company_logo.png,https://upload.wikimedia.org/wikipedia/commons/7/71/Fusioncharts_company_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,FusionCharts,Public domain,,no,,,
Computer/Programming/Google_api/index.svg,technology/computer/programming/google_api,Google api,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/google.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/google.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://partnermarketinghub.withgoogle.com,
Computer/Programming/Google_cloud_platform_functions/index.svg,technology/computer/programming/google_cloud_platform_functions,Google cloud platform functions,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/googlecloud.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/googlecloud.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://cloud.google.com,
Computer/Programming/Groovy/index.svg,technology/computer/programming/groovy,Groovy,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/apachegroovy.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/apachegroovy.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://apache.org/logos,
Computer/Programming/Html/index.svg,technology/computer/programming/html,Html,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/html5.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/html5.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://www.w3.org/html/logo/,
Computer/Programming/Http/index.svg,technology/computer/programming/http,Http,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AHTTP_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/5b/HTTP_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,IETF HTTP Working Group (HTTPbis),Public domain,,no,,,
Computer/Programming/Ios/index.svg,technology/computer/programming/ios,Ios,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/ios.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/ios.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://en.wikipedia.org/wiki/IOS,
Computer/Programming/Java/index.svg,technology/computer/programming/java,Java,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.22.0/icons/openjdk.svg,https://raw.githubusercontent.com/simple-icons/simple-icons/15.22.0/icons/openjdk.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://hg.openjdk.java.net/duke/duke/file/ca00f100dafc/vector/Agent.svg,manual repair
Computer/Programming/Javascript/index.svg,technology/computer/programming/javascript,Javascript,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/javascript.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/javascript.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://github.com/voodootikigod/logo.js/blob/1544bdeed6d618a6cfe4f0650d04ab8d9cfa76d9/js.svg,
Computer/Programming/Json/index.svg,technology/computer/programming/json,Json,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/json.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/json.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://commons.wikimedia.org/wiki/File:JSON_vector_logo.svg,
Computer/Programming/Jsp/index.jpg,technology/computer/programming/jsp,Jsp,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AJakarta_Server_Faces_logo.tiff,https://upload.wikimedia.org/wikipedia/commons/a/ad/Jakarta_Server_Faces_logo.tiff?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,The original uploader was Edburns at Wikipedia.,Public domain,,no,,,
Computer/Programming/Latex/index.svg,technology/computer/programming/latex,Latex,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/latex.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/latex.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://github.com/latex3/branding/tree/9def6b5f6075567d62b67424e11dbe6d4d5245b4,
Computer/Programming/Lines_of_code/index.svg,technology/computer/programming/lines_of_code,Lines of code,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.22.0/icons/vim.svg,https://raw.githubusercontent.com/simple-icons/simple-icons/15.22.0/icons/vim.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://commons.wikimedia.org/wiki/File:Vimlogo.svg,stand-in: Vim mark; no dedicated lines-of-code free logo
Computer/Programming/Log4j/index.svg,technology/computer/programming/log4j,Log4j,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/apache.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/apache.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://www.apache.org/foundation/press/kit,
Computer/Programming/Logitech_lua/index.svg,technology/computer/programming/logitech_lua,Logitech lua,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/lua.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/lua.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://www.lua.org/images/,
Computer/Programming/Markdown/index.svg,technology/computer/programming/markdown,Markdown,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/markdown.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/markdown.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://github.com/dcurtis/markdown-mark/tree/360a3657fef7f6ad0b303296a95ad52985caa0d3,
Computer/Programming/Ms_sql/index.svg,technology/computer/programming/ms_sql,Ms sql,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AMicrosoft_SQL_Server_2025_icon.svg,https://upload.wikimedia.org/wikipedia/commons/4/41/Microsoft_SQL_Server_2025_icon.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Microsoft,Public domain,,no,,,
Computer/Programming/Nant/index.svg,technology/computer/programming/nant,Nant,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AApache-Ant-logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Apache-Ant-logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"The Apache Ant Project Team, designed by Nick King",Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,yes,,,stand-in: Apache Ant logo; NAnt is a .NET relative of Ant and has no clearly licensed NAnt mark on Commons
Computer/Programming/Php/index.svg,technology/computer/programming/php,Php,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/php.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/php.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://php.net/download-logos.php,
Computer/Programming/Powershell/index.jpg,technology/computer/programming/powershell,Powershell,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3APowerShell_5.0_icon.png,https://upload.wikimedia.org/wikipedia/commons/2/2f/PowerShell_5.0_icon.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Microsoft,Public domain,,no,,,
Computer/Programming/Python/index.svg,technology/computer/programming/python,Python,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/python.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/python.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://www.python.org/community/logos/,
Computer/Programming/R/index.svg,technology/computer/programming/r,R,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/r.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/r.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://www.r-project.org/logo/,
Computer/Programming/Regex/index.svg,technology/computer/programming/regex,Regex,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AOOjs_UI_icon_regular-expression-invert.svg,https://upload.wikimedia.org/wikipedia/commons/f/f7/OOjs_UI_icon_regular-expression-invert.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://phabricator.wikimedia.org/diffusion/GOJU/browse/master/AUTHORS.txt,MIT,http://opensource.org/licenses/mit-license.php,yes,,,
Computer/Programming/Servlet/index.svg,technology/computer/programming/servlet,Servlet,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3ALogo_Bionicon.svg,https://upload.wikimedia.org/wikipedia/commons/2/22/Logo_Bionicon.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Unknown author,Public domain,,no,,,
